Character,Strokes,Composition,Character1,Strokes1,Verification1,Character2,Strokes2,Verification2,Cangjie,Radical
他,5.0,吅,亻,2.0,,也,3.0,,OPD,人
仗,5.0,吅,亻,2.0,,丈,3.0,,OJK,人
付,5.0,吅,亻,2.0,,寸,3.0,,ODI,人
仙,5.0,吅,亻,2.0,,山,3.0,,OU,人
仚,5.0,吕,人,2.0,,山,3.0,,OU,人
仛,5.0,吅,亻,2.0,,乇,3.0,,OHP,人
仜,5.0,吅,亻,2.0,,工,3.0,,OM,人
仝,5.0,吕,人,2.0,,工,3.0,,OM,人
仞,5.0,吅,亻,2.0,,刃,3.0,,OSHI,人
仟,5.0,吅,亻,2.0,,千,3.0,,OHJ,人
仠,5.0,吅,亻,2.0,,干,3.0,,OMJ,人
仡,5.0,吅,亻,2.0,,乞,3.0,,OON,人
仢,5.0,吅,亻,2.0,,勺,3.0,,OPI,人
代,5.0,吅,亻,2.0,,弋,3.0,,OIP,人
令,5.0,吕,亼,3.0,,龴,2.0,,OINI,人
以,5.0,吅,厶,2.0,*,人,2.0,,VIO,人
仦,5.0,吅,亻,2.0,,小,3.0,,OF,人
仧,5.0,吕,上,3.0,,人,2.0,,YMO,人
仨,5.0,吅,亻,2.0,,三,3.0,,OMMM,人
仩,5.0,吅,亻,2.0,,上,3.0,,OYM,人
仪,5.0,吅,亻,2.0,,义,3.0,,OIK,人
仫,5.0,吅,亻,2.0,,么,3.0,,OHI,人
们,5.0,吅,亻,2.0,,门,3.0,,OLS,人
仭,5.0,吅,亻,2.0,,刄,3.0,,OSK,人
仮,6.0,吅,亻,2.0,,反,4.0,,OHE,人
仯,6.0,吅,亻,2.0,,少,4.0,,OFH,人
仰,6.0,吅,亻,2.0,,卬,4.0,,OHVL,人
仱,6.0,吅,亻,2.0,,今,4.0,,OOIN,人
仲,6.0,吅,亻,2.0,,中,4.0,,OL,人
仳,6.0,吅,亻,2.0,,比,4.0,,OPP,人
仴,6.0,吅,亻,2.0,,月,4.0,,OB,人
