,Pinyin,Definition,Stroke count,Frequency rank,HSK
舒,shū,"open up, unfold, stretch out; comfortable, easy",12,1459,HSK3
绩,jī,spin; achievements,11,1547,HSK3
饮,yǐn,drink; swallow; kind of drink,7,1569,HSK3
朵,duǒ,cluster of flowers; earlobe,6,1571,HSK3
鞋,xié,"shoes, footwear in general",15,1638,HSK3
邮,yóu,"postal, mail; post office",7,1652,HSK3
邻,lín,neighbor; neighborhood,7,1659,HSK3
聪,cōng,"intelligent, clever, bright",15,1669,HSK3
梯,tī,"ladder, steps, stairs; lean",11,1672,HSK3
瓶,píng,"jug, pitcher, vase, jar, bottle",10,1703,HSK3
疼,téng,"aches, pains; be fond of; love",10,1710,HSK3
熊,xióng,a bear; brilliant; bright; surname,14,1741,HSK3
帽,mào,"hat, cap; cap-like tops",12,1750,HSK3
炼,liàn,"smelt, refine; distill, condense",9,1763,HSK3
搬,bān,"transfer, move, remove, shift",13,1766,HSK3
刷,shuā,"brush; clean with brush, scrub",8,1824,HSK3
瘦,shòu,"thin, emaciated, lean; meager",14,1841,HSK3
斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",4,1866,HSK3
胖,pàng,"fat, obese; fatty",9,1893,HSK3
饿,è,hungry; greedy for; hunger,10,1911,HSK3
聊,liáo,"somewhat, slightly, at least",11,1932,HSK3
碗,wǎn,"bowl, small dish",13,1939,HSK3
渴,kě,"thirsty, parched; yearn, pine",12,1972,HSK3
饱,bǎo,,8,1998,HSK3
甜,tián,"sweet, sweetness",11,2020,HSK3
矮,ǎi,"short, dwarf; low",13,2027,HSK3
裤,kù,"trousers, pants",12,2090,HSK3
衫,shān,shirt; robe; gown; jacket,8,2153,HSK3
伞,sǎn,"umbrella, parasol, parachute",6,2202,HSK3
姨,yí,,9,2287,HSK3
刮,guā,"shave, pare off, scrape",8,2350,HSK3
糕,gāo,"cakes, pastry",16,2413,HSK3
裙,qún,"skirt, apron, petticoat",12,2431,HSK3
衬,chèn,underwear; inner garments,8,2502,HSK3
锻,duàn,"forge metal; temper, refine",14,2531,HSK3
澡,zǎo,"wash, bathe",16,2695,HSK3
啤,pí,beer,11,2849,HSK3
蕉,jiāo,banana; plantain,15,3104,HSK3
筷,kuài,chopsticks,13,3110,HSK3
