,Pinyin,Definition,Stroke count,Frequency rank,HSK
雪,xuě,"snow; wipe away shame, avenge",11,1003,HSK2
肉,ròu,flesh; meat; KangXi radical 130,6,1009,HSK2
馆,guǎn,public building,11,1011,HSK2
牛,niú,"cow, ox, bull; KangXi radical93",4,1018,HSK2
纸,zhǐ,paper,7,1020,HSK2
歌,gē,"song, lyrics; sing, chant; praise",14,1040,HSK2
床,chuáng,"bed, couch; framework, chassis",7,1068,HSK2
玩,wán,"play with, joke, enjoy",8,1072,HSK2
妻,qī,wife,8,1076,HSK2
休,xiū,"rest, stop; retire; do not!",6,1082,HSK2
舞,wǔ,"dance, posture, prance; brandish",14,1144,HSK2
姓,xìng,,8,1149,HSK2
妹,mèi,younger sister,8,1185,HSK2
汽,qì,"steam, vapor, gas",7,1200,HSK2
课,kè,lesson; course; classwork,10,1208,HSK2
懂,dǒng,"understand, comprehend",15,1211,HSK2
绍,shào,"continue, carry on; join",8,1234,HSK2
丈,zhàng,"unit of length equal 3.3 meters; gentleman, man, husband",3,1242,HSK2
洗,xǐ,"wash, rinse; clean, purify",9,1247,HSK2
唱,chàng,"sing, chant, call; ditty, song",11,1252,HSK2
奶,nǎi,,5,1278,HSK2
宜,yí,"suitable, right, fitting, proper",8,1290,HSK2
累,lèi,"tired; implicate, involve; bother",11,1323,HSK2
羊,yáng,"sheep, goat; KangXi radical 123",6,1337,HSK2
零,líng,"zero; fragment, fraction",13,1342,HSK2
蛋,dàn,eggs; term of abuse,11,1387,HSK2
鸡,jī,chicken,7,1391,HSK2
宾,bīn,"guest, visitor; surname; submit",10,1534,HSK2
颜,yán,"face, facial appearance",15,1545,HSK2
瓜,guā,"melon, gourd, cucumber; rad. 97",5,1827,HSK2
晴,qíng,"clear weather, fine weather",12,1968,HSK2
啡,fēi,morphine; coffee,11,2326,HSK2
篮,lán,basket,16,2357,HSK2
咖,kā,coffee; a phonetic,8,2379,HSK2
踢,tī,kick,15,2444,HSK2
泳,yǒng,dive; swim,8,2607,HSK2
铅,qiān,lead,10,2641,HSK2
