字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
龙,龙,1,lóng lǒng máng,龍,,0.0217,810,830,0.027993734,696,715
较,车交,4,jiào jué xiào,較,,0.071,317,507,0.042825984,491,716
注,水主,4,zhù,注,,0.0402,522,746,0.042825467,492,717
语,言吾,3,yǔ yù,語,,0.0763,298,473,0.042792393,493,718
仅,人又,1,jǐn jìn,僅,,0.0454,472,692,0.042753117,494,719
落,艸洛,5,là luò lào luō,落,,0.0455,471,688,0.04270764,496,720
随,辵隋,5,suí,隨,,0.0489,447,663,0.042685935,498,721
选,辵先,2,xuǎn suàn xuàn,選,,0.0385,545,767,0.04263374,499,722
帝,帝,1,dì,帝,,0.0266,706,834,0.034125906,612,723
红,糸工,3,hóng gōng jiàng,紅,,0.0523,423,623,0.042299897,502,724
留,卯田,1,liú liǔ liù,留,,0.0323,616,779,0.037873632,554,725
呈,口𡈼,1,chéng,呈,,0.0093,1291,593,0.006494439,1563,726
州,川,1,zhōu,州,,0.0232,778,801,0.026631488,721,727
黄,黄,1,huáng,黃,,0.039,541,694,0.03731137,561,728
响,口向,4,xiǎng,响,,0.0595,381,576,0.042222379,503,729
若,艸右,1,ruò rě ré rè,若,,0.0211,823,971,0.031387462,651,730
虽,口虫,1,suī,雖,,0.0394,535,757,0.041909724,504,731
推,手隹,3,tuī,推,,0.0397,531,755,0.041824971,505,732
势,力执,3,shì,勢,,0.0411,508,734,0.041707144,506,733
众,人,4,zhòng,眾,,0.0525,419,618,0.041544357,510,734
构,木勾,4,gòu,構,,0.0563,398,591,0.041530921,511,735
房,户方,4,fáng páng,房,,0.0363,566,789,0.041508182,512,736
节,艸卩,1,jié jiē,節,,0.0565,394,590,0.041381053,514,737
扁,户册,3,biǎn piān biàn,扁,,0.0029,2125,787,0.005124958,1737,738
朝,屮日月,1,zhāo cháo zhū,朝,,0.0285,672,794,0.035337767,593,739
投,手殳,2,tóu,投,,0.0274,690,921,0.04119191,516,740
仓,亼乚,1,cāng,倉,,0.0043,1827,667,0.004276397,1882,741
案,安木,4,àn,案,,0.0214,818,1058,0.041030156,518,742
维,糸隹,5,wéi yí,維,,0.0417,501,725,0.040762461,520,743
划,戈刀,1,huá huà,劃,,0.0428,493,715,0.040644117,522,744
敌,舌攴,1,dí,敵,,0.0272,695,924,0.040629647,523,745
