字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
郝,赤阝,1,hǎo,郝,,0.0008,3081,3344,0.000868716,3075,3329
苛,艸可,3,kē hē hé,苛,,0.0008,3081,3344,0.000867682,3077,3331
秽,禾岁,3,huì,穢,,0.0007,3168,3430,0.000866132,3078,3332
茜,艸西,1,qiàn,茜,,0.0002,3788,4002,0.000865615,3079,3333
搓,手差,2,cuō,搓,,0.0008,3081,3344,0.000864582,3080,3334
酱,将酉,5,jiàng,醬,,0.0011,2860,3120,0.000861998,3081,3335
赁,任贝,3,lìn rèn,賃,,0.0004,3536,3778,0.000861998,3082,3335
檐,木詹,3,yán dān,檐,,0.001,2927,3185,0.000861481,3083,3337
蕉,艸焦,5,jiāo qiāo qiáo,蕉,,0.001,2927,3185,0.000859414,3084,3338
苔,艸台,4,tái tāi,苔,,0.0014,2693,2962,0.000857863,3085,3339
赦,赤攴,1,shè cè,赦,,0.0006,3277,3533,0.000857347,3086,3340
缎,糸段,5,duàn,緞,,0.0007,3168,3430,0.00085683,3087,3341
舷,舟玄,3,xián,舷,,0.0005,3397,3648,0.000854763,3088,3342
筷,竹快,5,kuài,筷,,0.0014,2693,2962,0.000853729,3089,3343
婪,林女,2,lán,婪,,0.0007,3168,3430,0.000848561,3091,3344
殸,殳声,1,qìng kēng shēng,殸,,0,3938,3885,0,4017,3345
紊,文糸,4,wěn wèn,紊,,0.0009,3008,3267,0.000847011,3092,3346
恣,次心,3,zì,恣,,0.0002,3788,3885,0.000308004,3720,3347
厮,厂斯,5,sī,廝,,0.0005,3397,3648,0.00084546,3093,3348
婿,女胥,5,xù,婿,,0.001,2927,3185,0.000844944,3094,3349
寥,宀翏,4,liáo,寥,,0.0008,3081,3344,0.00084391,3095,3350
兢,克,1,jīng,兢,,0.0007,3168,3430,0.000843393,3096,3351
糙,米造,3,cāo,糙,,0.0012,2789,3052,0.000842877,3097,3352
槐,木鬼,1,huái,槐,,0.0011,2860,3120,0.00084081,3099,3353
扒,手八,5,bā pá pā,扒,,0.0013,2743,3010,0.000838742,3100,3354
祀,示巳,5,sì,祀,,0.0017,2541,2809,0.000837709,3101,3355
埔,土甫,3,pǔ bù,埔,,0.0016,2585,2853,0.000836158,3102,3356
絮,如糸,1,xù chù nò nǜ,絮,,0.0016,2585,2853,0.000835641,3103,3357
芭,艸巴,5,bā pā,芭,,0.0016,2585,2853,0.000834608,3104,3358
屉,尸世,1,tì,屜,,0.0007,3168,3430,0.000833058,3105,3359
霄,雨肖,5,xiāo xiào,霄,,0.0004,3536,3778,0.000832541,3106,3360
痪,疒奂,5,huàn,瘓,,0.0005,3397,3648,0.000832541,3107,3361
绽,糸定,1,zhàn,綻,,0.0005,3397,3648,0.000830474,3108,3362
宵,宀肖,5,xiāo,宵,,0.0008,3081,3344,0.000828923,3110,3363
霖,雨林,5,lín,霖,,0.0011,2860,3120,0.00082789,3111,3364
岔,分山,2,chà,岔,,0.001,2927,3185,0.000826339,3112,3365
饵,食耳,5,ěr,餌,,0.0018,2503,2772,0.000824789,3113,3366
茄,艸加,1,qié jiā,茄,,0.0012,2789,3052,0.000824789,3114,3366
韧,韦刃,5,rèn,韌,,0.0015,2631,2900,0.000823239,3115,3368
琪,玉其,5,qí,琪,,0.0004,3536,3778,0.000822722,3116,3369
瑚,玉胡,5,hú,瑚,,0.0008,3081,3344,0.000821688,3117,3370
憋,敝心,2,biē,憋,,0.0011,2860,3120,0.000820655,3119,3371
殆,歹台,3,dài,殆,,0.0005,3397,3648,0.000820655,3118,3371
噜,口鲁,4,lū lǔ,嚕,,0.0012,2789,3052,0.000820138,3120,3373
忿,分心,4,fèn,忿,,0.0009,3008,3267,0.000815487,3121,3374
衅,血半,1,xìn,衅,,0.0005,3397,3648,0.000815487,3122,3375
淳,水享,1,chún zhūn zhǔn,淳,,0.0009,3008,3267,0.00081497,3123,3376
悖,心孛,5,bèi bó,悖,,0.0005,3397,3648,0.000814453,3124,3377
髦,髟毛,2,máo lí,髦,,0.0008,3081,3344,0.000813937,3125,3378
粤,宀米亏,1,yuè,粵,,0.0012,2789,3052,0.000812386,3126,3379
隘,阝益,1,ài è,隘,,0.0009,3008,3267,0.000811353,3127,3380
濒,水步页,1,bīn,瀕,,0.0008,3081,3344,0.000810836,3128,3381
隺,冖隹,1,hú hè,隺,,0,3938,3344,1.0336E-06,4004,3382
畸,田奇,3,jī qí,畸,,0.0012,2789,3052,0.000807218,3129,3383
剔,易刀,3,tī,剔,,0.001,2927,3185,0.000805668,3130,3384
坞,土乌,4,wù,塢,,0.0003,3656,3885,0.000805668,3130,3384
篱,竹离,5,lí,籬,,0.0007,3168,3430,0.000805151,3132,3386
淀,水定,2,diàn,澱,,0.0032,2034,2317,0.000804634,3133,3387
蓦,莫马,5,mò mà,驀,,0.0007,3168,3430,0.000803601,3134,3388
唬,口虎,5,hǔ xià,唬,,0.0005,3397,3648,0.000803084,3135,3389
趾,足止,5,zhǐ,趾,,0.0009,3008,3267,0.000802051,3136,3390
锣,金罗,5,luó,鑼,,0.0015,2631,2900,0.00080205,3137,3391
汀,水丁,3,tīng,汀,,0.0005,3397,3648,0.00080205,3137,3391
缉,糸咠,3,jī qī jí qì,緝,,0.0005,3397,3648,0.0008005,3139,3393
斟,甚斗,3,zhēn,斟,,0.0006,3277,3533,0.000799467,3140,3394
鞍,革安,5,ān,鞍,,0.001,2927,3185,0.000798433,3141,3395
扳,手反,3,bān pān,扳,,0.0009,3008,3267,0.000795849,3142,3396
拴,手全,3,shuān,拴,,0.0013,2743,3010,0.000794299,3143,3397
诅,言且,5,zǔ,詛,,0.0004,3536,3778,0.000793265,3144,3398
呃,口厄,5,è,呃,,0.0006,3277,3533,0.000791715,3145,3399
懦,心需,1,nuò,懦,,0.0005,3397,3648,0.000791198,3146,3400
犁,利牛,4,lí,犁,,0.0015,2631,2900,0.000790681,3147,3401
逞,辵呈,4,chěng yíng,逞,,0.0007,3168,3430,0.000790681,3148,3402
忏,心千,3,chàn,懺,,0.0004,3536,3778,0.000790681,3148,3402
拧,手宁,5,níng nǐng nìng,擰,,0.0011,2860,3120,0.000790165,3150,3404
绊,糸半,5,bàn,絆,,0.0007,3168,3430,0.000788097,3153,3405
腮,肉思,2,sāi,腮,,0.001,2927,3185,0.000786547,3154,3406
椒,木叔,1,jiāo,椒,,0.0013,2743,3010,0.00078448,3155,3407
蔚,艸尉,5,wèi yù,蔚,,0.0012,2789,3052,0.00078448,3156,3407
狩,犬守,5,shòu,狩,,0.0012,2789,3052,0.000782413,3157,3409
湛,水甚,1,zhàn chén dān jiān jìn tán,湛,,0.0009,3008,3267,0.000782413,3157,3409
眶,目匡,4,kuàng,眶,,0.0011,2860,3120,0.000780862,3159,3411
栈,木戋,3,zhàn,棧,,0.0006,3277,3533,0.000778795,3160,3412
薇,艸微,5,wēi wéi,薇,,0.001,2927,3185,0.000777245,3161,3413
肮,肉亢,3,āng kǎng,骯,,0.0005,3397,3648,0.000774661,3162,3414
瀑,水暴,1,pù bào bó,瀑,,0.001,2927,3185,0.000773627,3163,3415
渣,水查,3,zhā,渣,,0.0016,2585,2853,0.000772594,3164,3416
褂,衣卦,5,guà,褂,,0.0012,2789,3052,0.00077156,3165,3417
叽,口几,5,jī,嘰,,0.0009,3008,3267,0.000771043,3166,3418
臀,殿肉,1,tún,臀,,0.0006,3277,3533,0.000769493,3167,3419
坒,土比,4,bì,坒,,0,3938,3885,0,4017,3420
妞,女丑,3,niū,妞,,0.0003,3656,3885,0.00076846,3168,3421
巍,山魏,4,wēi wéi,巍,,0.0011,2860,3120,0.000767426,3169,3422
唔,口吾,4,wù wú ńg ń,唔,,0.0014,2693,2962,0.000765359,3170,3423
疚,疒久,4,jiù,疚,,0.0006,3277,3533,0.000764842,3171,3424
鲤,鱼里,5,lǐ,鯉,,0.0009,3008,3267,0.000764325,3172,3425
肇,户攴聿,1,zhào,肇,,0.0005,3397,3648,0.000763808,3174,3426
笃,竹马,3,dǔ,篤,,0.001,2927,3185,0.000761224,3175,3427
盍,去皿,1,hé kě,盍,,0,3938,3430,5.16785E-05,3963,3428
㝉,宀一,1,níng nìng zhù,宁,,0,3938,2772,0,4017,3429
辙,车徹,3,zhé chè,轍,,0.0006,3277,3533,0.000757607,3176,3430
娴,女闲,5,xián,嫻,,0.0006,3277,3533,0.000757607,3176,3430
札,木乚,1,zhá,札,,0.0006,3277,3533,0.00075709,3178,3432
阮,阝元,3,ruǎn,阮,,0.0006,3277,3533,0.00075709,3179,3433
懊,心奥,5,ào,懊,,0.0007,3168,3430,0.00075554,3180,3434
恤,心血,2,xù,恤,,0.0003,3656,3885,0.000753989,3181,3435
疹,疒㐱,5,zhěn chèn,疹,,0.0006,3277,3533,0.000753473,3182,3436
潇,水萧,5,xiāo,瀟,,0.0012,2789,3052,0.000752956,3183,3437
铝,金吕,5,lǚ,鋁,,0.0032,2034,2317,0.000750889,3184,3438
涤,水条,1,dí,滌,,0.0013,2743,3010,0.000750372,3185,3439
喽,口娄,4,lóu lou,嘍,,0.0007,3168,3430,0.000746755,3186,3440
恃,心寺,3,shì,恃,,0.0004,3536,3778,0.000746754,3187,3441
砌,石切,2,qì qiè,砌,,0.0014,2693,2962,0.000745204,3188,3442
丵,丵,1,zhuó,丵,,0,3938,3344,0,4017,3443
遁,辵盾,5,dùn qūn xún,遁,,0.0004,3536,3778,0.000742103,3189,3444
楞,四方木,5,léng lèng,楞,,0.0018,2503,2772,0.000742103,3190,3445
阱,阝井,5,jǐng,阱,,0.0002,3788,4002,0.000740553,3191,3446
咎,各人,1,jiù gāo,咎,,0.0003,3656,3885,0.00073952,3192,3447
欮,屰欠,1,jué,欮,,0,3938,3646,0,4017,3448
洼,水圭,1,wā,洼,,0.0013,2743,3010,0.000739003,3193,3449
炳,火丙,5,bǐng,炳,,0.0015,2631,2900,0.000738486,3194,3450
枫,木风,5,fēng,楓,,0.001,2927,3185,0.000732801,3195,3451
拷,手考,5,kǎo,拷,,0.0002,3788,4002,0.000732801,3195,3451
矶,石几,5,jī,磯,,0.0003,3656,3885,0.000732285,3197,3453
哆,口多,5,duō chǐ,哆,,0.0008,3081,3344,0.000732285,3198,3454
苇,艸韦,4,wěi,葦,,0.0017,2541,2809,0.000731768,3199,3455
翩,扁羽,3,piān,翩,,0.0009,3008,3267,0.000730734,3200,3456
窒,穴至,5,zhì dié,窒,,0.0007,3168,3430,0.000730217,3201,3457
侬,人农,5,nóng,儂,,0.0002,3788,4002,0.000729701,3202,3458
胰,肉夷,5,yí,胰,,0.0007,3168,3430,0.000729184,3203,3459
靶,革巴,4,bǎ bà,靶,,0.0008,3081,3344,0.000729184,3204,3460
芜,艸无,4,wú wǔ,蕪,,0.0006,3277,3533,0.00072815,3205,3461
辫,糸辡,5,biàn,辮,,0.0015,2631,2900,0.000727634,3206,3462
嚎,口豪,5,háo,嚎,,0.0007,3168,3430,0.000727633,3207,3462
冏,冏,1,jiǒng,冏,,0,3938,3646,0,4017,3464
幌,巾晃,5,huǎng,幌,,0.0003,3656,3885,0.00072505,3209,3465
踉,足良,3,liáng liàng láng làng,踉,,0.0005,3397,3648,0.000725049,3210,3466
佃,人田,3,diàn tián,佃,,0.0011,2860,3120,0.000724016,3211,3467
葫,艸胡,5,hú,葫,,0.0011,2860,3120,0.000722982,3212,3468
拽,手曳,1,zhuài zhuāi yè,拽,,0.0008,3081,3344,0.000721432,3213,3469
皖,白完,4,wǎn huàn,皖,,0.0014,2693,2962,0.000721432,3214,3470
滤,水虑,5,lǜ,濾,,0.0017,2541,2809,0.000720399,3215,3471
睬,目采,5,cǎi,睬,,0.0006,3277,3533,0.000719365,3216,3472
嗤,口蚩,5,chī,嗤,,0.0005,3397,3648,0.000716781,3220,3473
谤,言旁,3,bàng,謗,,0.0003,3656,3885,0.000716781,3219,3473
捍,手旱,5,hàn,捍,,0.0006,3277,3533,0.000715747,3221,3475
孵,卵孚,4,fū,孵,,0.0014,2693,2962,0.000714714,3222,3476
倪,人兒,1,ní,倪,,0.0008,3081,3344,0.000713163,3223,3477
瘾,疒隐,5,yǐn,癮,,0.0007,3168,3430,0.000712647,3224,3478
磋,石差,2,cuō,磋,,0.0004,3536,3778,0.000711613,3227,3479
淆,水肴,3,xiáo yáo,淆,,0.0008,3081,3344,0.00071058,3228,3480
蕊,艸心,1,ruǐ juǎn,蕊,,0.0013,2743,3010,0.000709546,3230,3481
烘,火共,3,hōng,烘,,0.0014,2693,2962,0.000708512,3232,3482
璋,玉章,5,zhāng,璋,,0.0011,2860,3120,0.000708512,3231,3482
轧,车乚,1,yà zhá gá,軋,,0.0008,3081,3344,0.000706445,3233,3484
赂,贝各,1,lù,賂,,0.0003,3656,3885,0.000703861,3235,3485
榆,木俞,5,yú,榆,,0.0011,2860,3120,0.000702828,3236,3486
蝗,虫皇,5,huáng,蝗,,0.0007,3168,3430,0.000702828,3237,3487
骏,马夋,3,jùn,駿,,0.0006,3277,3533,0.000701794,3238,3488
梵,林凡,4,fàn,梵,,0.0008,3081,3344,0.000700244,3240,3489
炽,火只,2,chì,熾,,0.001,2927,3185,0.000699727,3241,3490
闸,门甲,3,zhá gé yā,閘,,0.0015,2631,2900,0.000698694,3242,3491
瘟,疒昷,4,wēn wò yūn,瘟,,0.0005,3397,3648,0.000693009,3244,3492
垢,土后,3,gòu,垢,,0.0005,3397,3648,0.000693009,3245,3493
菇,艸姑,5,gū,菇,,0.0008,3081,3344,0.000691975,3246,3494
琦,玉奇,5,qí,琦,,0.0004,3536,3778,0.000691459,3247,3495
剃,弟刀,3,tì,剃,,0.0008,3081,3344,0.000690942,3248,3496
纂,算糸,3,zuǎn zuàn,纂,,0.0004,3536,3532,0.000511617,3458,3497
溺,水弱,1,nì niào,溺,,0.0006,3277,3533,0.000686808,3249,3498
迸,辵并,1,bèng bǐng pēng,迸,,0.0007,3168,3430,0.000686807,3250,3499
炫,火玄,4,xuàn,炫,,0.0005,3397,3648,0.000686807,3250,3499
惚,心忽,5,hū bū,惚,,0.0006,3277,3533,0.000685774,3252,3501
嗨,口海,4,hāi hēi hǎi,嗨,,0.0011,2860,3120,0.000685257,3253,3502
陨,阝员,2,yǔn yuán,隕,,0.0008,3081,3344,0.000684224,3254,3503
赃,贝庄,3,zāng,贓,,0.0004,3536,3778,0.000682673,3255,3504
羁,网革马,1,jī,羈,,0.0004,3536,3778,0.000682156,3256,3505
嘀,口啇,4,dí,嘀,,0.0009,3008,3267,0.000681123,3257,3506
膳,肉善,5,shàn,膳,,0.0006,3277,3533,0.000679572,3258,3507
赣,章夂贡,1,gàn gòng zhuàng,贛,,0.001,2927,3185,0.000678022,3259,3508
殉,歹旬,4,xùn,殉,,0.0006,3277,3533,0.000676989,3260,3509
踌,足寿,3,chóu,躊,,0.0006,3277,3533,0.000676989,3261,3510
壹,壶吉,3,yī yì,壹,,0.0001,3870,4002,0.000137982,3908,3510
桔,木吉,2,jié jú xié,桔,,0.0019,2458,2731,0.000676472,3262,3512
瞿,目隹,2,qú jù,瞿,,0.0004,3536,3778,0.000676472,3262,3512
闽,门虫,2,mǐn,閩,,0.0013,2743,3010,0.000675438,3264,3514
豚,肉豕,1,tún dūn,豚,,0.0008,3081,3344,0.000674405,3265,3515
沌,水屯,3,dùn chún tún zhuàn,沌,,0.0006,3277,3533,0.000673371,3266,3516
掺,手参,3,chān xiān càn shǎn sēn,摻,,0.001,2927,3185,0.000673371,3267,3517
喳,口查,3,zhā chā,喳,,0.0013,2743,3010,0.000672854,3268,3518
惰,心隋,1,duò,惰,,0.0009,3008,3267,0.000672854,3269,3519
椭,木隋,1,tuǒ duǒ,橢,,0.0008,3081,3344,0.000672337,3270,3520
咪,口米,4,mī,咪,,0.0015,2631,2900,0.000670787,3271,3521
霎,雨妾,1,shà,霎,,0.0006,3277,3533,0.000669754,3272,3522
侃,人口川,1,kǎn,侃,,0.0006,3277,3533,0.000669237,3273,3523
窖,穴告,3,jiào zào,窖,,0.0009,3008,3267,0.000667686,3274,3524
祠,示司,3,cí sì,祠,,0.0008,3081,3344,0.00066717,3275,3525
瞩,目属,3,zhǔ,矚,,0.0006,3277,3533,0.000663552,3277,3526
菁,艸青,3,jīng,菁,,0.0002,3788,4002,0.000663552,3276,3526
佬,人老,5,lǎo,佬,,0.0003,3656,3885,0.000663035,3278,3528
躇,足著,3,chú chuò,躇,,0.0006,3277,3533,0.000663035,3279,3529
咄,口出,1,duō,咄,,0.0004,3536,3778,0.000662519,3280,3530
肋,肉力,2,lèi lē jīn lè,肋,,0.0007,3168,3430,0.000662518,3281,3531
忡,心中,3,chōng,忡,,0.0004,3536,3778,0.000657867,3282,3532
弁,厶廾,1,biàn,弁,,0.0001,3870,3264,0.00015917,3895,3533
雍,亠乡隹,1,yōng,雍,,0.0006,3277,3533,0.000657351,3283,3534
刁,刁,1,diāo,刁,,0.0007,3168,3264,0.00045012,3536,3535
忱,心冘,1,chén,忱,,0.0005,3397,3648,0.000655284,3284,3536
蕾,艸雷,4,lěi,蕾,,0.0023,2314,2584,0.000655284,3285,3537
跄,足仓,3,qiāng qiàng,蹌,,0.0005,3397,3648,0.000653733,3286,3538
硅,石圭,5,guī hè huò,硅,,0.0028,2150,2433,0.000653216,3287,3539
炊,火欠,1,chuī,炊,,0.0012,2789,3052,0.000652183,3288,3540
蝠,虫畐,5,fú,蝠,,0.0007,3168,3430,0.000650632,3289,3541
谛,言帝,5,dì tí,諦,,0.0006,3277,3533,0.000649599,3290,3542
屎,尸米,5,shǐ xī,屎,,0.0008,3081,3344,0.000649599,3291,3543
拭,手式,5,shì,拭,,0.0006,3277,3533,0.000649599,3291,3543
褪,衣退,5,tuì tùn,褪,,0.0006,3277,3533,0.000649082,3293,3545
隧,阝遂,4,suì zhuì,隧,,0.0005,3397,3648,0.000647015,3296,3546
茸,艸耳,1,róng rǒng,茸,,0.001,2927,3185,0.000644431,3297,3547
钳,金甘,3,qián ān,鉗,,0.0008,3081,3344,0.000642364,3298,3548
啃,口肯,5,kěn,啃,,0.0009,3008,3267,0.000641847,3299,3549
闺,门圭,5,guī,閨,,0.0011,2860,3120,0.000638746,3300,3550
舔,舌忝,5,tiǎn tān,舔,,0.0005,3397,3648,0.000638746,3300,3550
蹬,足登,5,dēng dèng,蹬,,0.0009,3008,3267,0.000637196,3302,3552
眺,目兆,3,tiào,眺,,0.0008,3081,3344,0.000635646,3303,3553
挛,変手,4,luán liàn,攣,,0.0007,3168,3430,0.000635646,3303,3553
袱,衣伏,5,fú,袱,,0.0009,3008,3267,0.000634095,3305,3555
髟,镸彡,1,biāo piào shān,髟,,0,3938,3430,2.99736E-05,3975,3556
柿,木市,5,shì,柿,,0.0014,2693,2962,0.000630995,3306,3557
殴,区殳,1,ōu kōu qū,毆,,0.0006,3277,3533,0.000630995,3307,3558
梧,木吾,4,wú wù yǔ,梧,,0.001,2927,3185,0.000629444,3308,3559
惺,心星,5,xīng,惺,,0.0005,3397,3648,0.000628411,3309,3560
侥,人尧,3,jiǎo yáo,僥,,0.0003,3656,3885,0.000627894,3310,3561
弛,弓也,1,chí shǐ,弛,,0.001,2927,3185,0.000627894,3311,3562
琛,玉罙,3,chēn,琛,,0.0002,3788,4002,0.000627894,3312,3562
捅,手甬,3,tǒng,捅,,0.0006,3277,3533,0.000625827,3313,3564
酝,酉云,4,yùn,醞,,0.0008,3081,3344,0.000623243,3314,3565
薯,艸署,5,shǔ,薯,,0.0015,2631,2900,0.000622209,3315,3566
澈,水徹,5,chè,澈,,0.0009,3008,3267,0.000621176,3317,3567
锈,金秀,5,xiù,銹,,0.0015,2631,2900,0.000619109,3318,3568
稠,禾周,3,chóu diào tiáo tiào,稠,,0.001,2927,3185,0.000617042,3319,3569
眸,目牟,5,móu,眸,,0.0005,3397,3648,0.000616525,3320,3570
咆,口包,3,páo,咆,,0.0005,3397,3648,0.000615491,3321,3571
簧,竹黄,5,huáng,簧,,0.0014,2693,2962,0.000614974,3322,3572
鸥,区鸟,5,ōu,鷗,,0.0008,3081,3344,0.000614458,3323,3573
疡,疒𠃓,5,yáng dàng,瘍,,0.0006,3277,3533,0.000614457,3324,3574
渎,水卖,1,dú dòu,瀆,,0.0003,3656,3885,0.000612907,3325,3575
汲,水及,5,jí,汲,,0.0007,3168,3430,0.000611357,3327,3576
嬉,女喜,4,xī,嬉,,0.0006,3277,3533,0.000611357,3326,3576
脓,肉农,5,nóng,膿,,0.0012,2789,3052,0.000609806,3328,3578
穗,禾惠,3,suì,穗,,0.0017,2541,2809,0.000608773,3330,3579
骡,马累,2,luó,騾,,0.0007,3168,3430,0.000608773,3329,3579
拎,手令,4,līn līng,拎,,0.0008,3081,3344,0.000607739,3331,3581
槛,木监,4,jiàn kǎn xiǎn,檻,,0.0004,3536,3778,0.000607739,3332,3582
搀,手兔,1,chān,攙,,0.0006,3277,3533,0.000605672,3335,3583
曙,日署,5,shǔ shù,曙,,0.0005,3397,3648,0.000605155,3336,3584
隅,阝禺,5,yú,隅,,0.0004,3536,3778,0.000603088,3337,3585
筛,竹师,2,shāi shī,篩,,0.0011,2860,3120,0.000602571,3338,3586
倭,人委,2,wō wēi wǒ,倭,,0.0003,3656,3885,0.000599471,3339,3587
痹,疒畀,5,bì,痹,,0.0009,3008,3267,0.000598437,3340,3588
猖,犬昌,5,chāng,猖,,0.0007,3168,3430,0.00059792,3341,3589
佯,人羊,5,yáng,佯,,0.0003,3656,3885,0.00059637,3342,3590
肛,肉工,2,gāng,肛,,0.0005,3397,3648,0.000592753,3343,3591
甭,不用,5,béng qì,甭,,0.0008,3081,3344,0.000592236,3345,3592
抨,手平,3,pēng bēng,抨,,0.0004,3536,3778,0.000592236,3345,3592
蛾,虫我,3,é yǐ,蛾,,0.0009,3008,3267,0.000591719,3347,3594
唠,口劳,4,lào láo,嘮,,0.0008,3081,3344,0.000590685,3348,3595
荧,𫇦火,1,yíng jiǒng xíng,熒,,0.0017,2541,2809,0.000590169,3350,3596
嵩,山高,5,sōng,嵩,,0.0004,3536,3778,0.000590169,3349,3596
漱,水欶,2,shù sòu,漱,,0.0003,3656,3885,0.000588618,3351,3598
攘,手襄,3,rǎng níng ráng ràng xiǎng,攘,,0.0007,3168,3430,0.000588101,3353,3599
篡,算厶,3,cuàn,篡,,0.0007,3168,3430,0.000587585,3354,3600
睿,目㕡,1,ruì,睿,,0.0004,3536,3778,0.000586034,3355,3601
噩,口王,1,è,噩,,0.0002,3788,4002,0.000585517,3356,3602
怅,心长,4,chàng,悵,,0.0006,3277,3533,0.000585001,3357,3603
徙,彳止,1,xǐ,徙,,0.0007,3168,3430,0.000584484,3358,3604
盎,央皿,3,àng,盎,,0.0005,3397,3648,0.000584484,3359,3604
祟,出示,1,suì,祟,,0.0004,3536,3778,0.000582417,3360,3606
漓,水离,5,lí,漓,,0.0006,3277,3533,0.000582417,3361,3607
睫,目疌,3,jié shè,睫,,0.0005,3397,3648,0.0005819,3363,3608
翎,令羽,4,líng,翎,,0.0003,3656,3885,0.000581383,3364,3609
呛,口仓,3,qiāng qiàng,嗆,,0.0007,3168,3430,0.000578799,3365,3610
筐,竹匡,5,kuāng,筐,,0.0011,2860,3120,0.000578283,3366,3611
檀,木亶,3,tán shàn,檀,,0.0006,3277,3533,0.000578283,3366,3611
磊,石,5,lěi,磊,,0.0004,3536,3778,0.000575699,3369,3613
吠,口犬,3,fèi,吠,,0.0006,3277,3533,0.000575182,3370,3614
驮,马大,1,tuó duò dài,馱,,0.0008,3081,3344,0.000574148,3371,3615
瑙,玉𡿺,5,nǎo,瑙,,0.0005,3397,3648,0.000572598,3372,3616
炬,火巨,5,jù,炬,,0.0004,3536,3778,0.000572081,3373,3617
颉,吉页,2,jié,頡,,0.0001,3870,4002,0.000508517,3465,3618
痉,疒𢀖,3,jìng,痙,,0.0006,3277,3533,0.000571564,3374,3619
曝,日暴,1,pù bào,曝,,0.0005,3397,3648,0.000571048,3375,3620
恺,心岂,1,kǎi,愷,,0.0009,3008,3267,0.000571048,3376,3621
萤,𫇦虫,4,yíng,螢,,0.0007,3168,3430,0.000570014,3377,3622
筝,竹争,5,zhēng,箏,,0.0003,3656,3885,0.000568464,3379,3623
霹,雨辟,3,pī,霹,,0.0003,3656,3885,0.00056588,3380,3624
烙,火各,1,lào luò gé,烙,,0.0009,3008,3267,0.000564846,3381,3625
毗,田比,3,pí,毗,,0.0004,3536,3778,0.000564846,3382,3625
蒜,艸示,1,suàn,蒜,,0.0008,3081,3344,0.000563813,3383,3627
埠,土阜,3,bù,埠,,0.0007,3168,3430,0.000563813,3384,3627
嘈,口曹,5,cáo,嘈,,0.0006,3277,3533,0.000561745,3386,3629
乒,兵,1,pīng,乒,,0.0016,2585,2853,0.000561229,3387,3630
帷,巾隹,5,wéi,帷,,0.0004,3536,3778,0.000561229,3388,3631
啄,口豖,1,zhuó zhòu,啄,,0.0012,2789,3052,0.000560195,3389,3632
鳌,敖鱼,5,áo,鰲,,0.0003,3656,3885,0.000559678,3390,3633
毡,毛占,4,zhān,氈,,0.0009,3008,3267,0.000559162,3391,3634
褥,衣辱,4,rù nù,褥,,0.0006,3277,3533,0.000558645,3392,3635
搔,手蚤,3,sāo zhǎo,搔,,0.0005,3397,3648,0.000558128,3393,3636
笋,竹尹,1,sǔn,筍,,0.0009,3008,3267,0.000557611,3394,3637
骼,骨各,4,gé,骼,,0.0008,3081,3344,0.000557094,3396,3638
狞,犬宁,5,níng,獰,,0.0005,3397,3648,0.000557094,3396,3638
冕,冃免,5,miǎn,冕,,0.0004,3536,3778,0.000557094,3395,3638
蔼,水葛,1,ǎi,藹,,0.0006,3277,3533,0.000555544,3398,3641
烹,亨火,3,pēng,烹,,0.0006,3277,3533,0.000555027,3399,3642
嫖,女票,4,piáo piāo biāo piào,嫖,,0.0001,3870,4076,0.000554511,3400,3643
沐,水木,5,mù,沐,,0.0006,3277,3533,0.000553994,3402,3644
咏,口永,5,yǒng,詠,,0.0008,3081,3344,0.00055141,3403,3645
圃,囗甫,3,pǔ,圃,,0.0009,3008,3267,0.000550893,3405,3646
捻,手念,4,niǎn niē,捻,,0.0005,3397,3648,0.000550893,3404,3646
悴,心卒,1,cuì,悴,,0.0004,3536,3778,0.000549859,3407,3648
呱,口瓜,5,guā gū guǎ,呱,,0.0009,3008,3267,0.000549343,3408,3649
钠,金内,2,nà ruì,鈉,,0.005,1720,2001,0.000548309,3409,3650
捶,手垂,5,chuí,捶,,0.0006,3277,3533,0.000548309,3410,3651
袄,衣夭,2,ǎo,襖,,0.0012,2789,3052,0.000546242,3411,3652
澎,水彭,5,péng pēng,澎,,0.0006,3277,3533,0.000545725,3412,3653
氮,气炎,3,dàn,氮,,0.0038,1908,2189,0.000545208,3413,3654
恪,心各,3,kè,恪,,0.0002,3788,4002,0.000545208,3414,3655
眇,少目,1,miǎo,眇,,0,3938,3645,3.30743E-05,3972,3656
雏,刍隹,5,chú jú jù,雛,,0.0007,3168,3430,0.000543658,3415,3657
堰,土匽,4,yàn,堰,,0.0003,3656,3885,0.000542108,3416,3658
撮,手最,2,cuō zuǒ,撮,,0.0007,3168,3430,0.000542108,3418,3659
鹦,婴鸟,5,yīng,鸚,,0.0005,3397,3648,0.000542108,3417,3659
彷,彳方,3,páng fǎng,彷,,0.0003,3656,3885,0.000542108,3418,3659
犀,尸水牛,1,xī,犀,,0.0005,3397,3648,0.000539524,3420,3662
腑,肉府,5,fǔ,腑,,0.001,2927,3185,0.000539007,3421,3663
沽,水古,4,gū gǔ,沽,,0.0005,3397,3648,0.000539007,3421,3663
